Date,Time,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,half_time_result_sum,final_result_sum,home_team_proportion,away_team_proportion,TimeNew,TimeSlot,Day,Month,Year,Weekday,Weekend,0.5_under_half,1.5_under_half,2.5_under_half,0.5_under_final,1.5_under_final,2.5_under_final,3.5_under_final,4.5_under_final,0.5_above_half,1.5_above_half,2.5_above_half,0.5_above_final,1.5_above_final,2.5_above_final,3.5_above_final,4.5_above_final,mutual_goal,MS_1_under_1_5,MS_2_under_1_5,MS_0_under_1_5,MS_1_above_1_5,MS_2_above_1_5,MS_0_above_1_5,MS_1_under_2_5,MS_2_under_2_5,MS_0_under_2_5,MS_1_above_2_5,MS_2_above_2_5,MS_0_above_2_5,MS_1_under_3_5,MS_2_under_3_5,MS_0_under_3_5,MS_1_above_3_5,MS_2_above_3_5,MS_0_above_3_5,MS_1_under_4_5,MS_2_under_4_5,MS_0_under_4_5,MS_1_above_4_5,MS_2_above_4_5,MS_0_above_4_5
2019-08-17,15:00,Southampton,Liverpool,1,2,2,0,1,2,14,15,3,6,10,6,5,9,2,1,0,0,1,3,21.428571428571427,40.0,15,Morning,17,8,2019,5,0,0,1,1,0,0,0,1,1,1,0,0,1,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
2019-08-17,17:30,Man City,Tottenham,2,2,0,2,1,1,30,3,10,2,14,4,13,2,1,0,0,0,3,4,33.33333333333333,66.66666666666666,17,Afternoon,17,8,2019,5,0,0,0,1,0,0,0,0,1,1,1,0,1,1,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
2019-08-18,14:00,Sheffield United,Crystal Palace,1,0,1,0,0,0,15,6,3,4,16,11,8,4,3,1,0,0,0,1,20.0,66.66666666666666,14,Morning,18,8,2019,6,1,1,1,1,0,1,1,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
2019-08-18,16:30,Chelsea,Leicester,1,1,0,1,0,1,14,12,5,3,9,14,4,5,1,0,0,0,1,2,35.714285714285715,25.0,16,Afternoon,18,8,2019,6,1,0,1,1,0,0,1,1,1,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
2019-08-19,20:00,Wolves,Man United,1,1,0,0,1,2,6,9,2,2,17,8,4,6,2,2,0,0,1,2,33.33333333333333,22.22222222222222,20,Night,19,8,2019,0,0,0,1,1,0,0,1,1,1,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
2019-08-23,20:00,Aston Villa,Everton,2,0,1,1,0,1,7,12,3,1,10,18,0,6,2,3,0,0,1,2,42.857142857142854,8.333333333333332,20,Night,23,8,2019,4,0,0,1,1,0,0,1,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
2019-08-24,12:30,Norwich,Chelsea,2,3,2,2,2,0,6,23,5,8,9,9,1,8,1,1,0,0,4,5,83.33333333333334,34.78260869565217,12,Morning,24,8,2019,5,0,0,0,1,0,0,0,0,0,1,1,0,1,1,1,1,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
2019-08-24,15:00,Brighton,Southampton,0,2,2,0,0,0,12,12,3,4,9,10,8,5,1,3,1,0,0,2,25.0,33.33333333333333,15,Morning,24,8,2019,5,0,1,1,1,0,0,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
2019-08-24,15:00,Man United,Crystal Palace,1,2,2,0,1,2,22,5,3,3,8,18,8,1,2,4,0,0,1,3,13.636363636363635,60.0,15,Morning,24,8,2019,5,0,0,1,1,0,0,0,1,1,1,0,0,1,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
2019-08-24,15:00,Sheffield United,Leicester,1,2,2,0,1,2,8,10,3,2,11,6,7,4,1,0,0,0,1,3,37.5,20.0,15,Morning,24,8,2019,5,0,0,1,1,0,0,0,1,1,1,0,0,1,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
2019-08-24,15:00,Watford,West Ham,1,3,2,1,1,0,23,16,3,10,12,11,8,7,1,1,0,0,2,4,13.043478260869565,62.5,15,Morning,24,8,2019,5,0,0,1,1,0,0,0,0,1,1,0,0,1,1,1,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
2019-08-24,17:30,Liverpool,Arsenal,3,1,1,1,0,1,25,9,5,3,8,5,6,4,1,1,0,0,1,4,20.0,33.33333333333333,17,Afternoon,24,8,2019,5,0,0,1,1,0,0,0,0,1,1,0,0,1,1,1,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2019-08-25,14:00,Bournemouth,Man City,1,3,2,1,2,2,10,19,7,5,7,13,4,5,1,3,0,0,3,4,70.0,26.31578947368421,14,Morning,25,8,2019,6,1,0,0,1,0,0,0,0,1,1,1,0,1,1,1,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
2019-08-25,16:30,Tottenham,Newcastle,0,1,2,0,1,2,17,8,2,3,10,5,6,6,2,2,0,0,1,1,11.76470588235294,37.5,16,Afternoon,25,8,2019,6,1,0,1,1,0,1,1,1,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
2019-08-25,16:30,Wolves,Burnley,1,1,0,0,1,2,17,13,2,4,9,11,4,3,0,2,0,0,1,2,11.76470588235294,30.76923076923077,16,Afternoon,25,8,2019,6,1,0,1,1,0,0,1,1,1,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
2019-08-31,12:30,Southampton,Man United,1,1,0,0,1,2,10,21,2,8,17,7,2,3,1,2,1,0,1,2,20.0,38.095238095238095,12,Morning,31,8,2019,5,0,0,1,1,0,0,1,1,1,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
2019-08-31,15:00,Chelsea,Sheffield United,2,2,0,2,0,1,13,8,5,2,6,11,3,4,0,1,0,0,2,4,38.46153846153847,25.0,15,Morning,31,8,2019,5,0,0,0,1,0,0,0,0,1,1,1,0,1,1,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
2019-08-31,15:00,Crystal Palace,Aston Villa,1,0,1,0,0,0,22,10,5,2,15,16,13,2,2,4,0,1,0,1,22.727272727272727,20.0,15,Morning,31,8,2019,5,0,1,1,1,0,1,1,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
2019-08-31,15:00,Leicester,Bournemouth,3,1,1,2,1,1,13,8,5,2,9,11,4,5,1,3,0,0,3,4,38.46153846153847,25.0,15,Morning,31,8,2019,5,0,0,0,1,0,0,0,0,1,1,1,0,1,1,1,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2019-08-31,15:00,Man City,Brighton,4,0,1,2,0,1,15,6,6,2,10,6,8,1,1,1,0,0,2,4,40.0,33.33333333333333,15,Morning,31,8,2019,5,0,0,0,1,0,0,0,0,1,1,1,0,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
